,Blockchain News,Cryptocurrency,Market,Day,Date,Open,High,Low,Close,Volume,daily_variance,daily difference,Trading_Volume,price_1month,price_2weeks_ago,price_1week_ago,price_2days_ago,price_1day_ago,price_1hour_ago,price_1hour_ahead,price_1day_ahead,price_2days_ahead,price_1week_ahead,price_2weeks_ahead,price_1month_ahead
24,15654,6314,44605,2017-10-09,2017-10-09 23:00:00,4735.17,4799.84,4728.07,4751.08,610.8592271000001,71.77000000000044,-15.909999999999854,2902241.0566902687,8.964488074290475,17.566532241090446,7.690461958123208,6.863071133300212,3.127288953248523,0.3348712292783926,-1.8477353672746006,-0.10806901278747257,-1.3039459060834973,-17.351823761081043,-19.467760526137372,-36.35977619807301
25,1916,824,4000,2017-10-08,2017-10-08 23:00:00,4605.18,4608.01,4602.5,4602.5,73.71270812,5.510000000000218,2.680000000000291,339262.7391223,5.567843563280831,20.304399782726783,4.644432373709945,5.216295491580661,3.8563824008690886,-0.05822922324824098,0.48951110024279215,-3.127288953248523,-3.231978335737208,-19.177959509079635,-22.97032453719433,-35.264497798781946
26,8372,3208,17901,2017-10-07,2017-10-07 23:00:00,4437.91,4448.0,4425.01,4425.01,320.4214816,22.98999999999978,12.899999999999636,1417868.260294816,-4.4786339465899365,14.495108485630547,2.2006729928293973,2.405418292840028,1.414460080316206,-0.2915247649157773,-0.289553974212784,-3.8563824008690886,-6.863071133300212,-23.706592597573437,-26.404139321223163,-36.55908737048406
27,8904,3528,18678,2018-08-03,2018-08-03 23:00:00,7424.39,7429.41,7369.0,7413.7,40.1072510909,60.409999999999854,10.69000000000051,297343.12741260533,11.195219660898061,1.0642459230883317,-10.500964430716097,-2.541780757246726,-1.6496486234943442,-0.14419250846406667,0.23105179264555176,5.6903151306926265,5.427143681936721,21.6357670221493,12.657200688066418,1.7726509594938358
28,8574,3211,18369,2018-08-02,2018-08-02 23:00:00,7553.42,7564.99,7530.39,7536.0,52.5772807065,34.599999999999454,17.420000000000073,396222.387404184,13.636411889596609,0.9211783439490455,-5.17993630573248,-2.508625265392784,-0.8776539278131679,-0.23115711252654023,2.155347702318015,1.6496486234943442,7.433833959412932,15.221077384346993,19.357030518718435,4.722227626323962
29,7152,2660,16060,2018-08-01,2018-08-01 23:00:00,7578.7,7616.55,7559.97,7602.14,25.679393689,56.57999999999993,-23.44000000000051,195218.3459388945,12.983317855235502,2.9411455195510756,-7.338196876142766,-7.428434624987165,-1.6167815904468985,0.30833423220304423,-0.8574718729663571,0.8776539278131679,2.541780757246726,21.15929556139932,21.251279957382614,8.337347337219079
30,4119,2069,8850,2018-07-31,2018-07-31 23:00:00,7692.05,7770.0,7640.33,7725.05,380.656112483,129.67000000000007,-33.0,2940587.5017367993,17.857748493537265,5.207344936278735,-8.737160277279756,-6.3560753652079836,-5.719186283583919,0.42718170108931336,0.7861924462379297,1.6167815904468985,2.508625265392784,14.953022091670162,24.674597372247696,10.70642422713802
31,6138,2959,12412,2017-12-09,2017-12-09 23:00:00,15094.89,15162.45,14899.99,15041.0,610.4437102,262.46000000000095,53.88999999999942,9181683.8451182,52.45336081377568,41.628748088557934,27.611129579150322,-13.356824679210158,-8.038095871285156,-0.3582873479156932,3.0082010717893404,-1.4930925313937118,-10.471250622760806,-22.866627111090832,0.25515373212324605,0.40714258535207776
32,8113,3102,13653,2017-12-08,2017-12-08 23:00:00,15999.95,16350.1,15850.0,16250.01,661.1690569,500.10000000000036,-250.0599999999995,10744003.78631557,54.05830519488911,49.477692629112234,32.86047208586333,15.475990476313555,-4.923012355069319,1.5388298222585677,2.2834047952948433,8.038095871285156,6.424987130771019,-8.42227168981938,16.071500000000004,0.6183224304418261
33,8339,3111,15888,2018-06-05,2018-06-05 23:00:00,7624.3,7634.79,7603.88,7610.0,23.71940683,30.909999999999854,14.300000000000182,180504.6859763,-26.148226018396837,-4.9378449408672855,1.971090670170828,-1.313929040735871,1.445466491458607,-0.1879106438896213,0.01971479266609713,-0.6258871522722236,-1.056523898554986,16.18320610687023,12.891932306377726,16.548510062838172
