,Day,SVI,Close
626,2017-09-18,16.53846153846154,4098.03
627,2017-09-19,15.384615384615385,3903.4
628,2017-09-20,12.692307692307693,3866.0
629,2017-09-21,13.846153846153847,3616.74
630,2017-09-22,12.307692307692308,3620.96
631,2017-09-23,10.384615384615385,3783.6
632,2017-09-24,10.0,3667.99
633,2017-09-25,11.11111111111111,3916.48
634,2017-09-26,10.74074074074074,3885.14
635,2017-09-27,12.222222222222221,4204.51
636,2017-09-28,11.481481481481481,4188.0
637,2017-09-29,11.11111111111111,4182.89
638,2017-09-30,10.0,4327.63
639,2017-10-01,10.0,4388.74
640,2017-10-02,16.666666666666668,4385.7
641,2017-10-03,16.666666666666668,4300.0
642,2017-10-04,15.555555555555557,4214.25
643,2017-10-05,15.555555555555557,4318.57
644,2017-10-06,15.0,4362.42
645,2017-10-07,13.88888888888889,4425.01
646,2017-10-08,15.0,4602.5
647,2017-10-09,12.651162790697674,4751.08
648,2017-10-10,13.395348837209301,4756.22
649,2017-10-11,13.023255813953488,4813.85
650,2017-10-12,21.58139534883721,5437.68
651,2017-10-13,26.41860465116279,5636.28
652,2017-10-14,17.488372093023255,5799.99
653,2017-10-15,16.0,5694.61
654,2017-10-16,16.727272727272727,5748.56
655,2017-10-17,15.636363636363637,5592.26
656,2017-10-18,15.636363636363637,5569.33
657,2017-10-19,15.636363636363637,5695.01
658,2017-10-20,20.0,5984.03
659,2017-10-21,20.0,6012.58
660,2017-10-22,16.0,5974.97
661,2017-10-23,30.076923076923077,5899.6
662,2017-10-24,32.43589743589744,5517.21
663,2017-10-25,29.48717948717949,5741.66
664,2017-10-26,28.307692307692307,5889.42
665,2017-10-27,25.35897435897436,5765.32
666,2017-10-28,21.82051282051282,5730.01
667,2017-10-29,23.0,6132.76
668,2017-10-30,17.353846153846156,6124.69
669,2017-10-31,21.784615384615385,6448.36
670,2017-11-01,26.584615384615386,6741.02
671,2017-11-02,36.92307692307693,7037.48
672,2017-11-03,31.01538461538462,7150.58
673,2017-11-04,24.0,7371.55
674,2017-11-05,24.0,7394.44
675,2017-11-06,110.5,6975.01
676,2017-11-07,105.625,7109.7
677,2017-11-08,126.75,7465.53
678,2017-11-09,21.125,7151.49
679,2017-11-10,24.375,6585.11
680,2017-11-11,21.125,6340.0
681,2017-11-12,26.0,5849.37
682,2017-11-13,32.72727272727273,6549.3
683,2017-11-14,26.18181818181818,6606.75
684,2017-11-15,28.36363636363636,7292.65
685,2017-11-16,28.36363636363636,7852.44
686,2017-11-17,39.272727272727266,7677.17
